transport_type,distance_km,electricity_kwh,diet_type,waste_kg,flights_per_year,transport_co2,electricity_co2,diet_co2,waste_co2,flight_co2,total_co2_kg
bus,13.6,106.16,meat_heavy,9.76,0,16.32,87.05,300,4.88,0.0,383.17
car_petrol,1.04,176.63,meat_light,26.2,0,6.55,144.84,200,13.1,0.0,363.99
motorcycle,4.75,30.3,meat_light,9.6,1,15.69,24.85,200,4.8,21.25,247.19
car_electric,24.58,219.79,meat_light,20.08,0,36.87,180.23,200,10.04,0.0,397.79
bus,0.67,188.83,meat_light,21.01,0,0.81,154.84,200,10.5,0.0,374.55
motorcycle,19.72,140.89,meat_heavy,24.71,3,65.08,115.53,300,12.35,63.75,529.62
car_petrol,2.66,120.81,pescatarian,21.66,3,16.73,99.07,150,10.83,63.75,314.42
cycle,8.28,171.42,meat_light,14.46,3,0.0,140.57,200,7.23,63.75,427.02
cycle,8.28,183.1,meat_heavy,14.32,6,0.0,150.15,300,7.16,127.5,576.63
car_electric,37.45,182.83,meat_heavy,18.38,1,56.17,149.92,300,9.19,21.25,558.07
train,2.72,150.73,meat_heavy,27.45,0,2.45,123.6,300,13.72,0.0,467.6
car_electric,0.27,169.45,meat_heavy,18.96,1,0.41,138.95,300,9.48,21.25,480.0
motorcycle,8.68,222.3,meat_heavy,10.43,2,28.63,182.28,300,5.21,42.5,584.51
car_petrol,17.05,154.55,meat_light,14.58,3,107.42,126.73,200,7.29,63.75,493.14
car_petrol,3.86,186.83,vegetarian,30.86,0,24.3,153.2,100,15.43,0.0,302.36
car_petrol,43.13,121.74,vegetarian,21.86,6,271.72,99.82,100,10.93,127.5,597.7
car_electric,41.89,110.15,vegetarian,30.88,2,62.83,90.32,100,15.44,42.5,314.0
motorcycle,59.21,148.86,vegan,11.98,1,195.38,122.06,50,5.99,21.25,366.66
car_petrol,3.13,226.27,meat_light,26.17,4,19.69,185.54,200,13.08,85.0,493.24
car_diesel,50.74,163.45,vegan,20.1,1,258.76,134.03,50,10.05,21.25,509.69
bus,24.82,124.08,meat_light,34.88,1,29.78,101.75,200,17.44,21.25,393.98
car_petrol,8.25,281.39,vegetarian,13.53,0,51.95,230.74,100,6.77,0.0,387.19
car_electric,21.91,35.24,meat_heavy,22.9,2,32.86,28.89,300,11.45,42.5,393.26
cycle,43.22,70.79,meat_heavy,34.65,3,0.0,58.04,300,17.33,63.75,407.17
car_petrol,11.81,167.73,pescatarian,11.22,4,74.39,137.54,150,5.61,85.0,477.31
cycle,15.81,54.33,vegan,15.2,3,0.0,44.55,50,7.6,63.75,174.21
walking,142.37,240.97,meat_heavy,22.5,3,0.0,197.6,300,11.25,63.75,549.45
motorcycle,3.46,157.22,vegetarian,24.12,2,11.41,128.92,100,12.06,42.5,300.46
car_electric,3.01,164.54,meat_heavy,36.38,1,4.52,134.92,300,18.19,21.25,505.87
bus,20.58,135.06,vegetarian,27.77,0,24.69,110.75,100,13.89,0.0,259.51
bus,30.44,123.98,vegan,17.26,0,36.53,101.66,50,8.63,0.0,199.66
car_electric,14.38,133.84,meat_light,25.74,2,21.57,109.75,200,12.87,42.5,380.29
bus,49.58,149.12,vegetarian,26.37,1,59.49,122.28,100,13.19,21.25,340.49
motorcycle,9.97,71.73,vegan,25.36,0,32.89,58.82,50,12.68,0.0,145.2
car_petrol,3.74,83.92,pescatarian,23.9,3,23.54,68.82,150,11.95,63.75,316.73
bus,4.73,118.18,vegetarian,13.66,0,5.67,96.91,100,6.83,0.0,196.7
motorcycle,5.78,153.45,meat_light,1.74,0,19.07,125.83,200,0.87,0.0,362.33
bus,2.13,143.26,meat_heavy,18.23,2,2.56,117.47,300,9.12,42.5,447.84
car_diesel,11.57,292.45,pescatarian,17.51,1,59.01,239.81,150,8.76,21.25,497.78
car_petrol,7.27,184.59,meat_light,22.49,1,45.82,151.37,200,11.25,21.25,402.68
motorcycle,19.02,101.37,pescatarian,12.76,0,62.75,83.12,150,6.38,0.0,293.65
car_diesel,9.92,251.23,meat_heavy,27.05,1,50.59,206.01,300,13.53,21.25,552.28
bus,22.1,123.57,vegetarian,32.66,0,26.52,101.33,100,16.33,0.0,238.82
bus,21.14,66.09,vegetarian,24.5,0,25.37,54.19,100,12.25,0.0,184.02
car_petrol,5.16,100.28,meat_heavy,15.64,0,32.52,82.23,300,7.82,0.0,424.23
motorcycle,100.97,135.66,meat_heavy,12.74,3,333.19,111.24,300,6.37,63.75,855.87
car_diesel,4.68,181.7,meat_light,21.66,1,23.89,148.99,200,10.83,21.25,390.71
train,5.18,104.2,meat_light,5.56,0,4.66,85.45,200,2.78,0.0,274.84
bus,8.51,81.65,meat_light,22.14,1,10.22,66.95,200,11.07,21.25,287.3
car_electric,3.61,210.38,vegetarian,15.38,2,5.41,172.51,100,7.69,42.5,341.78
bus,15.95,43.79,meat_heavy,11.74,3,19.14,35.9,300,5.87,63.75,456.26
car_petrol,32.81,155.2,meat_light,18.75,3,206.73,127.26,200,9.38,63.75,572.12
train,5.63,130.89,meat_heavy,17.45,2,5.07,107.33,300,8.72,42.5,465.33
car_electric,52.43,222.07,meat_light,16.74,0,78.65,182.1,200,8.37,0.0,466.31
car_diesel,34.42,55.18,meat_heavy,20.13,0,175.54,45.25,300,10.06,0.0,534.55
cycle,24.47,61.28,vegetarian,29.15,2,0.0,50.25,100,14.58,42.5,211.31
bus,56.08,120.76,pescatarian,23.23,0,67.3,99.02,150,11.62,0.0,340.73
car_petrol,21.09,178.74,pescatarian,22.67,2,132.88,146.57,150,11.33,42.5,453.18
cycle,3.41,227.22,vegetarian,16.44,0,0.0,186.32,100,8.22,0.0,305.01
train,25.62,174.81,vegetarian,35.01,0,23.06,143.34,100,17.51,0.0,269.44
cycle,21.89,96.55,meat_heavy,1.4,0,0.0,79.17,300,0.7,0.0,385.11
bus,23.63,156.56,meat_light,25.81,3,28.36,128.38,200,12.9,63.75,447.77
car_petrol,21.47,69.51,meat_light,35.09,4,135.25,57.0,200,17.55,85.0,528.48
motorcycle,3.0,153.34,meat_light,28.75,0,9.91,125.74,200,14.38,0.0,325.1
car_electric,40.6,201.13,meat_heavy,1.43,0,60.89,164.93,300,0.72,0.0,513.65
train,15.05,134.42,vegetarian,7.97,0,13.54,110.23,100,3.99,0.0,227.7
motorcycle,61.58,214.83,meat_light,5.24,0,203.22,176.16,200,2.62,0.0,597.23
car_petrol,81.15,133.87,vegetarian,11.15,6,511.24,109.77,100,5.57,127.5,854.39
bus,1.74,103.05,meat_heavy,25.39,0,2.08,84.5,300,12.7,0.0,379.52
car_petrol,15.97,107.23,meat_heavy,20.85,1,100.61,87.93,300,10.43,21.25,522.24
motorcycle,12.8,79.35,vegetarian,21.63,3,42.25,65.07,100,10.81,63.75,302.0
car_electric,7.89,83.37,vegan,34.02,0,11.84,68.36,50,17.01,0.0,152.3
bus,0.69,107.73,meat_light,14.17,0,0.82,88.34,200,7.09,0.0,277.49
train,4.92,76.67,vegetarian,25.7,0,4.43,62.87,100,12.85,0.0,186.56
cycle,44.33,248.78,vegetarian,11.94,0,0.0,204.0,100,5.97,0.0,329.63
car_petrol,2.23,169.57,meat_light,9.99,3,14.08,139.05,200,5.0,63.75,443.3
car_electric,7.51,228.95,vegetarian,5.98,1,11.26,187.74,100,2.99,21.25,318.55
bus,14.32,162.66,meat_heavy,19.23,0,17.19,133.38,300,9.61,0.0,487.31
motorcycle,56.24,129.86,vegan,30.77,0,185.59,106.48,50,15.38,0.0,359.84
bus,7.46,160.25,meat_heavy,18.53,1,8.95,131.41,300,9.26,21.25,446.13
car_diesel,0.46,52.22,meat_light,24.41,2,2.37,42.82,200,12.21,42.5,315.72
car_diesel,0.28,165.36,meat_light,27.86,2,1.41,135.6,200,13.93,42.5,373.0
cycle,13.57,173.02,vegan,1.04,0,0.0,141.87,50,0.52,0.0,199.72
car_petrol,23.11,113.31,vegetarian,8.75,0,145.56,92.91,100,4.37,0.0,354.86
car_diesel,20.89,274.88,meat_heavy,17.56,2,106.54,225.4,300,8.78,42.5,652.07
car_petrol,7.6,115.46,meat_light,20.98,1,47.91,94.68,200,10.49,21.25,364.4
train,2.82,160.79,meat_light,17.32,2,2.54,131.85,200,8.66,42.5,381.52
car_diesel,42.75,187.94,vegetarian,27.78,1,218.0,154.11,100,13.89,21.25,495.97
car_petrol,62.32,70.84,meat_light,18.19,3,392.6,58.09,200,9.1,63.75,750.42
cycle,26.88,200.04,vegetarian,23.67,1,0.0,164.03,100,11.84,21.25,283.86
walking,72.09,199.11,vegan,21.07,2,0.0,163.27,50,10.54,42.5,257.67
walking,88.56,147.63,meat_heavy,25.45,3,0.0,121.05,300,12.73,63.75,483.13
cycle,0.94,65.69,vegetarian,24.01,0,0.0,53.87,100,12.0,0.0,171.08
car_electric,32.25,138.79,meat_light,16.48,2,48.38,113.81,200,8.24,42.5,400.95
bus,54.28,69.03,vegan,24.68,3,65.14,56.61,50,12.34,63.75,228.86
cycle,18.82,118.96,meat_light,31.27,1,0.0,97.55,200,15.64,21.25,354.43
walking,36.55,49.09,meat_light,5.93,0,0.0,40.25,200,2.97,0.0,228.06
car_electric,8.47,89.75,vegan,13.86,0,12.7,73.6,50,6.93,0.0,154.4
motorcycle,12.13,85.77,meat_heavy,25.46,2,40.02,70.33,300,12.73,42.5,434.99
motorcycle,52.82,147.03,meat_light,25.4,0,174.32,120.57,200,12.7,0.0,547.47
car_diesel,71.5,220.03,meat_light,32.97,0,364.65,180.42,200,16.48,0.0,722.14
car_diesel,5.16,111.76,vegan,29.51,4,26.31,91.64,50,14.76,85.0,284.14
walking,132.0,127.6,meat_heavy,10.61,2,0.0,104.63,300,5.31,42.5,427.38
cycle,6.35,162.18,meat_light,7.87,1,0.0,132.98,200,3.94,21.25,334.76
cycle,7.72,182.61,meat_light,28.67,0,0.0,149.74,200,14.33,0.0,358.74
car_electric,7.52,148.01,vegetarian,34.36,0,11.28,121.37,100,17.18,0.0,257.15
car_petrol,47.63,10.0,meat_light,13.04,2,300.07,8.2,200,6.52,42.5,543.72
bus,20.85,185.04,meat_heavy,17.13,2,25.02,151.73,300,8.56,42.5,557.42
cycle,30.81,180.14,meat_light,26.86,1,0.0,147.72,200,13.43,21.25,397.86
car_petrol,53.19,139.97,pescatarian,21.17,2,335.09,114.78,150,10.59,42.5,617.51
cycle,44.61,136.46,vegetarian,20.03,1,0.0,111.89,100,10.01,21.25,261.88
bus,7.52,188.73,meat_heavy,37.31,0,9.03,154.76,300,18.65,0.0,502.58
bus,82.42,222.54,meat_heavy,8.47,0,98.9,182.48,300,4.23,0.0,626.58
train,1.76,214.42,vegan,11.79,1,1.58,175.82,50,5.89,21.25,248.27
bus,1.17,172.03,vegan,15.79,0,1.4,141.06,50,7.9,0.0,194.71
motorcycle,36.79,116.69,vegetarian,35.05,6,121.39,95.68,100,17.52,127.5,456.65
motorcycle,4.47,188.92,vegetarian,27.9,0,14.74,154.91,100,13.95,0.0,291.79
bus,7.98,189.01,meat_light,19.21,1,9.58,154.99,200,9.6,21.25,388.94
car_diesel,103.34,203.87,vegetarian,18.35,0,527.06,167.18,100,9.17,0.0,743.14
bus,11.49,145.07,meat_heavy,28.94,0,13.79,118.96,300,14.47,0.0,473.6
train,36.84,177.6,meat_light,24.86,0,33.16,145.63,200,12.43,0.0,361.96
walking,23.97,144.62,vegetarian,31.52,0,0.0,118.59,100,15.76,0.0,241.3
motorcycle,5.59,105.55,meat_light,19.89,0,18.46,86.55,200,9.94,0.0,329.95
car_diesel,15.18,122.86,meat_light,1.0,0,77.44,100.75,200,0.5,0.0,390.5
cycle,37.84,148.55,vegetarian,15.43,0,0.0,121.81,100,7.72,0.0,247.4
car_petrol,17.27,240.2,meat_light,27.02,0,108.82,196.97,200,13.51,0.0,504.88
bus,2.3,133.85,vegan,19.31,0,2.76,109.76,50,9.66,0.0,162.05
bus,29.24,115.73,vegetarian,24.58,0,35.08,94.9,100,12.29,0.0,247.56
train,0.8,258.72,meat_heavy,22.86,2,0.72,212.15,300,11.43,42.5,594.17
car_electric,42.16,229.04,meat_light,21.58,1,63.24,187.82,200,10.79,21.25,485.14
train,2.13,88.11,meat_heavy,15.77,2,1.92,72.25,300,7.88,42.5,424.42
bus,31.75,152.28,vegetarian,20.96,2,38.1,124.87,100,10.48,42.5,294.33
car_petrol,7.45,215.46,meat_light,19.11,2,46.93,176.68,200,9.56,42.5,470.0
car_electric,11.59,163.47,meat_light,28.38,2,17.39,134.04,200,14.19,42.5,407.25
cycle,57.74,52.02,meat_light,15.42,3,0.0,42.66,200,7.71,63.75,299.58
bus,24.96,112.47,meat_light,23.17,3,29.95,92.22,200,11.58,63.75,377.14
car_diesel,88.85,169.43,meat_light,17.67,0,453.16,138.93,200,8.83,0.0,848.43
motorcycle,18.08,218.93,vegetarian,6.08,0,59.67,179.52,100,3.04,0.0,367.93
car_diesel,26.73,216.46,vegetarian,14.34,4,136.33,177.5,100,7.17,85.0,502.26
car_diesel,1.91,154.61,pescatarian,9.74,2,9.73,126.78,150,4.87,42.5,330.19
car_diesel,24.0,99.7,vegetarian,24.17,0,122.41,81.75,100,12.08,0.0,328.21
bus,16.09,172.92,meat_light,23.44,3,19.31,141.79,200,11.72,63.75,416.02
car_petrol,7.86,152.9,meat_heavy,14.5,0,49.51,125.38,300,7.25,0.0,452.99
motorcycle,67.91,154.72,vegan,4.01,0,224.09,126.87,50,2.01,0.0,434.34
walking,0.12,158.36,meat_heavy,23.62,1,0.0,129.86,300,11.81,21.25,464.07
motorcycle,27.48,216.49,vegetarian,11.68,2,90.68,177.52,100,5.84,42.5,447.87
car_petrol,27.91,214.39,vegetarian,18.69,2,175.86,175.8,100,9.34,42.5,530.74
walking,28.74,294.2,meat_heavy,19.54,1,0.0,241.25,300,9.77,21.25,529.27
walking,29.24,85.4,meat_light,25.35,0,0.0,70.03,200,12.67,0.0,289.54
car_petrol,26.81,146.15,meat_heavy,22.63,2,168.92,119.84,300,11.32,42.5,649.47
train,52.7,48.91,meat_light,12.53,2,47.43,40.11,200,6.27,42.5,350.42
train,14.3,141.0,meat_light,21.0,0,12.87,115.62,200,10.5,0.0,329.47
car_electric,12.61,96.89,meat_light,32.42,0,18.92,79.45,200,16.21,0.0,308.2
car_diesel,1.9,248.52,meat_light,28.08,1,9.69,203.79,200,14.04,21.25,440.14
cycle,18.3,122.75,pescatarian,19.84,0,0.0,100.65,150,9.92,0.0,256.35
bus,19.07,233.06,meat_heavy,24.51,2,22.88,191.11,300,12.26,42.5,610.2
car_petrol,5.45,134.84,meat_heavy,23.14,0,34.32,110.57,300,11.57,0.0,488.18
car_electric,2.67,48.42,vegetarian,19.21,0,4.01,39.71,100,9.61,0.0,160.76
bus,9.32,240.87,vegetarian,26.18,1,11.19,197.51,100,13.09,21.25,322.29
car_petrol,28.57,156.32,meat_light,9.33,0,180.01,128.18,200,4.66,0.0,518.38
car_diesel,82.37,233.84,meat_light,19.4,0,420.1,191.75,200,9.7,0.0,839.05
walking,23.01,152.93,vegetarian,20.32,0,0.0,125.4,100,10.16,0.0,239.75
motorcycle,45.79,133.48,vegetarian,26.01,2,151.12,109.45,100,13.01,42.5,401.08
cycle,13.78,109.59,meat_light,22.23,1,0.0,89.86,200,11.12,21.25,326.7
car_petrol,33.38,128.75,vegetarian,23.63,0,210.28,105.58,100,11.81,0.0,437.39
bus,19.78,116.55,meat_light,9.04,1,23.74,95.57,200,4.52,21.25,372.01
car_petrol,29.7,63.86,meat_light,4.7,2,187.1,52.37,200,2.35,42.5,522.38
car_petrol,2.75,184.14,vegetarian,33.03,0,17.32,150.99,100,16.51,0.0,265.94
cycle,5.33,83.95,pescatarian,14.31,0,0.0,68.84,150,7.15,0.0,226.69
car_petrol,40.28,164.03,meat_heavy,7.55,2,253.77,134.5,300,3.78,42.5,738.42
car_electric,10.12,191.7,meat_light,35.57,1,15.19,157.19,200,17.79,21.25,382.46
bus,79.03,182.33,vegetarian,12.63,1,94.84,149.51,100,6.32,21.25,347.91
motorcycle,35.28,228.84,meat_heavy,10.28,3,116.43,187.65,300,5.14,63.75,644.4
car_electric,4.13,222.79,meat_light,21.13,1,6.2,182.68,200,10.57,21.25,393.05
train,3.42,180.22,meat_light,24.66,0,3.07,147.78,200,12.33,0.0,351.75
car_diesel,11.16,39.83,pescatarian,24.06,1,56.93,32.66,150,12.03,21.25,277.26
bus,62.95,165.08,meat_heavy,19.99,0,75.54,135.36,300,9.99,0.0,556.79
car_petrol,42.52,205.14,meat_heavy,17.68,2,267.86,168.22,300,8.84,42.5,823.96
car_diesel,2.11,78.73,meat_light,17.18,0,10.76,64.55,200,8.59,0.0,305.51
bus,43.22,148.5,meat_light,26.54,2,51.86,121.77,200,13.27,42.5,407.06
bus,12.71,127.7,vegan,12.06,0,15.26,104.71,50,6.03,0.0,165.73
walking,19.94,145.77,pescatarian,23.89,1,0.0,119.53,150,11.95,21.25,299.8
car_petrol,25.6,182.41,meat_light,9.74,0,161.27,149.57,200,4.87,0.0,479.52
train,15.4,158.92,meat_heavy,17.3,0,13.86,130.31,300,8.65,0.0,426.9
car_petrol,9.03,168.15,vegan,14.98,1,56.91,137.88,50,7.49,21.25,295.27
cycle,23.88,206.97,meat_light,8.12,1,0.0,169.72,200,4.06,21.25,371.69
cycle,14.94,119.57,meat_light,10.63,2,0.0,98.05,200,5.32,42.5,358.79
train,0.28,115.41,vegan,1.0,0,0.25,94.64,50,0.5,0.0,151.44
car_petrol,19.16,90.35,meat_light,19.75,1,120.71,74.09,200,9.88,21.25,449.39
car_petrol,16.75,123.4,meat_light,12.92,1,105.51,101.19,200,6.46,21.25,425.78
car_electric,15.38,167.09,meat_heavy,21.66,2,23.07,137.02,300,10.83,42.5,498.25
train,14.39,190.68,vegan,16.1,3,12.95,156.35,50,8.05,63.75,289.31
bus,26.92,166.59,meat_light,26.4,0,32.31,136.61,200,13.2,0.0,383.24
car_petrol,33.43,270.8,vegan,21.09,0,210.62,222.06,50,10.55,0.0,510.29
car_petrol,1.85,101.85,vegetarian,30.39,0,11.64,83.52,100,15.2,0.0,219.6
bus,5.12,221.14,vegetarian,25.75,0,6.14,181.34,100,12.88,0.0,280.28
walking,8.75,186.43,pescatarian,30.49,0,0.0,152.87,150,15.24,0.0,298.84
bus,37.25,177.35,vegan,37.32,4,44.7,145.43,50,18.66,85.0,360.22
car_diesel,97.76,237.34,meat_light,34.39,2,498.59,194.62,200,17.2,42.5,976.76
car_petrol,10.32,87.31,meat_light,4.27,1,65.03,71.6,200,2.13,21.25,385.53
car_diesel,3.24,162.63,meat_light,18.68,0,16.52,133.36,200,9.34,0.0,377.37
cycle,46.85,139.97,meat_heavy,22.26,1,0.0,114.78,300,11.13,21.25,471.63
train,37.45,87.67,meat_light,24.02,6,33.71,71.89,200,12.01,127.5,476.26
car_petrol,4.5,173.98,meat_heavy,14.79,0,28.37,142.66,300,7.39,0.0,478.87
cycle,32.99,288.02,meat_light,28.6,0,0.0,236.18,200,14.3,0.0,455.17
train,51.65,227.39,vegetarian,25.39,1,46.49,186.46,100,12.69,21.25,338.08
car_diesel,32.41,227.28,vegetarian,16.62,1,165.28,186.37,100,8.31,21.25,499.15
bus,5.21,221.8,meat_light,15.12,0,6.25,181.87,200,7.56,0.0,412.21
car_petrol,34.23,63.01,vegetarian,11.15,0,215.68,51.67,100,5.57,0.0,395.39
walking,11.48,253.62,meat_heavy,16.8,1,0.0,207.97,300,8.4,21.25,528.29
motorcycle,29.74,219.99,vegetarian,15.42,1,98.13,180.39,100,7.71,21.25,406.24
bus,1.68,242.53,meat_light,36.05,1,2.01,198.87,200,18.02,21.25,452.59
cycle,7.86,149.58,vegan,30.5,0,0.0,122.65,50,15.25,0.0,182.92
train,30.75,155.3,meat_light,31.82,0,27.67,127.35,200,15.91,0.0,360.74
motorcycle,2.32,178.8,meat_light,9.08,6,7.65,146.62,200,4.54,127.5,520.01
bus,13.67,223.26,vegetarian,24.66,1,16.41,183.07,100,12.33,21.25,351.17
car_electric,21.21,74.8,pescatarian,22.79,0,31.81,61.34,150,11.39,0.0,235.25
car_petrol,44.55,158.45,vegetarian,5.85,4,280.66,129.93,100,2.93,85.0,575.47
motorcycle,51.54,127.87,meat_heavy,23.21,1,170.07,104.85,300,11.61,21.25,606.12
car_petrol,2.1,148.35,meat_light,34.18,2,13.24,121.65,200,17.09,42.5,411.23
car_petrol,23.55,173.72,meat_light,15.41,4,148.39,142.45,200,7.71,85.0,543.3
car_petrol,8.29,97.32,meat_heavy,13.38,0,52.22,79.8,300,6.69,0.0,422.71
train,14.93,118.44,vegan,19.89,3,13.44,97.12,50,9.94,63.75,220.73
bus,13.24,194.21,vegan,17.75,2,15.88,159.25,50,8.87,42.5,297.01
bus,69.05,143.43,vegetarian,15.17,2,82.85,117.61,100,7.58,42.5,377.54
car_diesel,26.55,167.61,meat_light,9.15,4,135.38,137.44,200,4.57,85.0,572.16
car_electric,3.03,124.39,vegetarian,15.67,3,4.54,102.0,100,7.83,63.75,280.85
bus,3.05,175.73,vegan,25.54,2,3.66,144.1,50,12.77,42.5,254.79
car_petrol,15.33,74.02,meat_heavy,19.54,3,96.55,60.7,300,9.77,63.75,545.12
motorcycle,13.27,187.15,vegan,36.46,1,43.78,153.46,50,18.23,21.25,300.78
motorcycle,1.33,112.29,vegetarian,24.82,0,4.4,92.08,100,12.41,0.0,203.22
train,18.32,169.38,meat_heavy,17.98,3,16.49,138.9,300,8.99,63.75,506.05
motorcycle,104.98,146.34,meat_heavy,14.11,1,346.42,120.0,300,7.06,21.25,794.44
car_petrol,26.73,124.42,meat_heavy,29.19,4,168.43,102.02,300,14.59,85.0,638.29
bus,8.46,171.75,meat_light,30.95,2,10.15,140.84,200,15.47,42.5,402.16
cycle,19.04,179.08,meat_heavy,13.23,0,0.0,146.85,300,6.61,0.0,479.38
cycle,8.11,117.21,meat_heavy,15.87,2,0.0,96.11,300,7.94,42.5,421.69
motorcycle,23.88,151.45,meat_heavy,31.3,1,78.81,124.19,300,15.65,21.25,581.72
bus,25.17,78.66,vegan,17.96,1,30.21,64.5,50,8.98,21.25,175.71
train,55.24,161.66,vegetarian,17.17,3,49.72,132.56,100,8.59,63.75,372.72
bus,30.97,131.78,meat_heavy,4.36,1,37.16,108.06,300,2.18,21.25,457.99
motorcycle,44.04,90.04,meat_light,15.96,2,145.34,73.83,200,7.98,42.5,439.65
car_diesel,3.83,110.24,meat_light,3.76,2,19.52,90.39,200,1.88,42.5,361.15
car_electric,46.04,174.22,meat_light,19.81,0,69.06,142.86,200,9.9,0.0,433.72
car_electric,28.99,125.88,meat_heavy,24.19,0,43.48,103.22,300,12.1,0.0,469.28
train,17.97,89.98,vegan,14.58,0,16.17,73.78,50,7.29,0.0,150.85
walking,51.24,193.42,meat_light,25.34,0,0.0,158.6,200,12.67,0.0,395.46
bus,20.55,142.04,meat_light,12.2,3,24.66,116.47,200,6.1,63.75,414.05
car_electric,94.09,138.75,vegan,12.46,2,141.14,113.77,50,6.23,42.5,377.29
car_diesel,48.86,180.79,meat_heavy,17.92,2,249.18,148.24,300,8.96,42.5,691.13
walking,32.43,203.32,vegetarian,15.79,3,0.0,166.72,100,7.89,63.75,317.39
train,19.45,136.59,vegan,17.21,1,17.51,112.01,50,8.6,21.25,202.71
bus,8.82,213.01,vegan,13.09,3,10.58,174.67,50,6.54,63.75,322.76
bus,22.49,143.73,meat_heavy,18.65,0,26.98,117.86,300,9.32,0.0,460.19
walking,48.4,105.97,meat_heavy,20.29,1,0.0,86.9,300,10.14,21.25,392.52
car_petrol,60.1,208.51,meat_heavy,24.01,1,378.6,170.98,300,12.0,21.25,885.3
motorcycle,9.53,238.44,meat_light,17.18,3,31.45,195.52,200,8.59,63.75,494.79
